order_id,customer_id,product_category,product_name,quantity,unit_price,total_amount,order_date,customer_age,customer_gender,customer_city
ORD_00000001,CUST_001310,Clothing,Jeans,2,292.4,584.79,2023-07-04,18,Male,长沙
ORD_00000002,CUST_000052,Automotive,Car Charger,5,212.47,1062.37,2023-05-24,65,Female,西安
ORD_00000003,CUST_000564,Books,Web Development,4,26.01,104.02,2023-06-28,39,Female,杭州
ORD_00000004,CUST_000458,Clothing,Dress,1,193.7,193.7,2023-05-30,52,Female,长沙
ORD_00000005,CUST_001509,Clothing,T-Shirt,5,37.77,188.87,2023-02-11,62,Female,天津
ORD_00000006,CUST_001386,Automotive,Car Charger,5,222.09,1110.45,2023-11-26,50,Male,西安
ORD_00000007,CUST_001828,Toys,Action Figure,3,155.04,465.13,2023-09-28,34,Male,北京
ORD_00000008,CUST_000179,Food,Organic Tea,5,11.49,57.47,2023-12-05,19,Male,杭州
ORD_00000009,CUST_000865,Electronics,MacBook Pro,2,3247.74,6495.48,2023-02-04,51,Female,深圳
ORD_00000010,CUST_000062,Electronics,Gaming Laptop,4,829.03,3316.13,2023-03-18,33,Female,西安
ORD_00000011,CUST_000448,Books,Machine Learning,5,26.64,133.2,2023-01-08,58,Female,青岛
ORD_00000012,CUST_001035,Food,Chocolate,2,60.07,120.14,2023-06-28,24,Male,深圳
ORD_00000013,CUST_000055,Toys,Puzzle,5,100.59,502.93,2023-05-16,36,Female,青岛
ORD_00000014,CUST_000408,Health,Thermometer,5,246.17,1230.83,2023-01-09,26,Female,长沙
ORD_00000015,CUST_001331,Health,First Aid Kit,4,83.51,334.05,2023-11-23,69,Male,杭州
ORD_00000016,CUST_001117,Sports,Basketball,2,104.76,209.52,2023-04-23,68,Male,上海
ORD_00000017,CUST_000452,Beauty,Makeup Kit,5,120.17,600.84,2023-09-23,32,Female,西安
ORD_00000018,CUST_001207,Home & Garden,Coffee Maker,3,449.55,1348.65,2023-07-19,38,Female,杭州
ORD_00000019,CUST_001658,Electronics,iPhone 14,1,1607.95,1607.95,2023-01-12,23,Male,广州
